"","year","dataset","link"
"30",2008,"bewegung_natuerlich","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2008/bevoelkerungsstruktur_2008_bewegung_natuerlich.csv"
"31",2008,"bewegung_raeumlich","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2008/bevoelkerungsstruktur_2008_bewegung_raeumlich.csv"
"32",2008,"bewegung_gesamt","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2008/bevoelkerungsstruktur_2008_bewegung_gesamt.csv"
"33",2009,"insgesamt","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2009/bevoelkerungsstruktur_2009_insgesamt.csv"
"34",2009,"alter","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2009/bevoelkerungsstruktur_2009_alter.csv"
"35",2009,"familienstand","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2009/bevoelkerungsstruktur_2009_familienstand.csv"
"36",2009,"geschlecht","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2009/bevoelkerungsstruktur_2009_geschlecht.csv"
"37",2009,"staatsangehoerigkeit","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2009/bevoelkerungsstruktur_2009_staatsangehoerigkeit.csv"
"38",2009,"bewegung_natuerlich","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2009/bevoelkerungsstruktur_2009_bewegung_natuerlich.csv"
"39",2009,"bewegung_raeumlich","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2009/bevoelkerungsstruktur_2009_bewegung_raeumlich.csv"
"40",2009,"bewegung_gesamt","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2009/bevoelkerungsstruktur_2009_bewegung_gesamt.csv"
"41",2010,"insgesamt","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2010/bevoelkerungsstruktur_2010_insgesamt.csv"
"42",2010,"alter","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2010/bevoelkerungsstruktur_2010_alter.csv"
"43",2010,"familienstand","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2010/bevoelkerungsstruktur_2010_familienstand.csv"
"44",2010,"geschlecht","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2010/bevoelkerungsstruktur_2010_geschlecht.csv"
"45",2010,"staatsangehoerigkeit","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2010/bevoelkerungsstruktur_2010_staatsangehoerigkeit.csv"
"46",2010,"bewegung_natuerlich","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2010/bevoelkerungsstruktur_2010_bewegung_natuerlich.csv"
"47",2010,"bewegung_raeumlich","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2010/bevoelkerungsstruktur_2010_bewegung_raeumlich.csv"
"48",2010,"bewegung_gesamt","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2010/bevoelkerungsstruktur_2010_bewegung_gesamt.csv"
